тип_прямоугольника,N,площадь,абсолютная_ошибка,относительная_ошибка
широкий,100,0.777771,0.166746,0.176541
узкий,100,0.82,0.124517,0.131832
широкий,600,1.05323,0.108714,0.1151
узкий,600,0.773333,0.171184,0.18124
широкий,1100,0.883831,0.0606866,0.0642515
узкий,1100,0.798182,0.146335,0.154931
широкий,1600,0.929679,0.0148379,0.0157095
узкий,1600,0.79375,0.150767,0.159624
широкий,2100,0.90277,0.0417474,0.0441997
узкий,2100,0.794286,0.150231,0.159056
широкий,2600,0.800207,0.144311,0.152788
узкий,2600,0.787308,0.157209,0.166444
широкий,3100,0.953397,0.00887937,0.00940096
узкий,3100,0.789032,0.155485,0.164618
широкий,3600,0.993818,0.0493012,0.0521972
узкий,3600,0.782778,0.161739,0.17124
широкий,4100,0.972214,0.0276964,0.0293234
узкий,4100,0.770244,0.174273,0.18451
широкий,4600,0.980668,0.0361504,0.038274
узкий,4600,0.795652,0.148865,0.15761
широкий,5100,0.905493,0.0390241,0.0413165
узкий,5100,0.78549,0.159027,0.168369
широкий,5600,0.923603,0.0209143,0.0221428
узкий,5600,0.786964,0.157553,0.166808
широкий,6100,0.902087,0.0424305,0.0449229
узкий,6100,0.781311,0.163206,0.172793
широкий,6600,0.911819,0.0326987,0.0346195
узкий,6600,0.78303,0.161487,0.170973
широкий,7100,0.963998,0.0194805,0.0206248
узкий,7100,0.785915,0.158602,0.167918
широкий,7600,0.990123,0.0456056,0.0482846
узкий,7600,0.785132,0.159386,0.168748
широкий,8100,0.968613,0.0240956,0.025511
узкий,8100,0.777037,0.16748,0.177318
широкий,8600,0.98691,0.0423927,0.0448829
узкий,8600,0.783256,0.161261,0.170734
широкий,9100,0.90277,0.0417474,0.0441997
узкий,9100,0.785824,0.158693,0.168015
широкий,9600,0.928667,0.0158507,0.0167818
узкий,9600,0.785729,0.158788,0.168116
широкий,10100,0.921196,0.0233207,0.0246906
узкий,10100,0.791584,0.152933,0.161917
широкий,10600,0.940112,0.00440498,0.00466374
узкий,10600,0.785377,0.15914,0.168488
широкий,11100,0.939806,0.00471071,0.00498743
узкий,11100,0.772613,0.171905,0.182003
широкий,11600,0.907679,0.0368385,0.0390024
узкий,11600,0.782586,0.161931,0.171443
широкий,12100,1.00355,0.0590322,0.0624999
узкий,12100,0.787273,0.157244,0.166481
широкий,12600,0.963726,0.0192088,0.0203372
узкий,12600,0.788889,0.155628,0.16477
широкий,13100,0.908389,0.0361283,0.0382505
узкий,13100,0.78542,0.159097,0.168443
широкий,13600,0.932896,0.0116211,0.0123037
узкий,13600,0.786985,0.157532,0.166786
широкий,14100,0.931532,0.0129849,0.0137476
узкий,14100,0.781348,0.16317,0.172755
широкий,14600,0.940916,0.00360088,0.0038124
узкий,14600,0.785411,0.159106,0.168452
широкий,15100,0.981871,0.0373542,0.0395484
узкий,15100,0.779801,0.164716,0.174392
широкий,15600,0.93669,0.00782678,0.00828654
узкий,15600,0.779423,0.165094,0.174792
широкий,16100,0.906997,0.0375204,0.0397244
узкий,16100,0.776894,0.167623,0.177469
широкий,16600,0.941759,0.00275847,0.00292051
узкий,16600,0.787048,0.157469,0.166719
широкий,17100,0.913653,0.0308638,0.0326768
узкий,17100,0.787251,0.157266,0.166504
широкий,17600,0.938518,0.00599963,0.00635206
узкий,17600,0.78767,0.156847,0.16606
широкий,18100,0.953414,0.0088967,0.00941931
узкий,18100,0.783978,0.160539,0.16997
широкий,18600,0.948692,0.00417511,0.00442037
узкий,18600,0.782043,0.162474,0.172018
широкий,19100,0.944218,0.00029927,0.00031685
узкий,19100,0.785236,0.159282,0.168638
широкий,19600,0.973702,0.0291845,0.0308988
узкий,19600,0.786071,0.158446,0.167753
широкий,20100,0.951415,0.00689781,0.007303
узкий,20100,0.780697,0.163821,0.173444
широкий,20600,0.953336,0.00881848,0.00933649
узкий,20600,0.784951,0.159566,0.168939
широкий,21100,0.92798,0.016537,0.0175084
узкий,21100,0.780995,0.163522,0.173128
широкий,21600,0.936656,0.0078614,0.0083232
узкий,21600,0.783704,0.160813,0.17026
широкий,22100,0.955937,0.0114195,0.0120903
узкий,22100,0.784344,0.160173,0.169582
широкий,22600,0.919301,0.0252161,0.0266973
узкий,22600,0.78354,0.160977,0.170433
широкий,23100,0.918342,0.0261752,0.0277127
узкий,23100,0.789957,0.15456,0.16364
широкий,23600,0.949968,0.00545084,0.00577104
узкий,23600,0.785636,0.158882,0.168215
широкий,24100,0.931469,0.0130478,0.0138143
узкий,24100,0.786846,0.157671,0.166933
широкий,24600,0.959172,0.0146545,0.0155154
узкий,24600,0.785285,0.159233,0.168586
широкий,25100,0.9451,0.000582883,0.000617123
узкий,25100,0.78502,0.159497,0.168866
широкий,25600,0.980948,0.0364311,0.0385712
узкий,25600,0.781523,0.162994,0.172568
широкий,26100,0.902929,0.0415878,0.0440307
узкий,26100,0.78613,0.158387,0.167691
широкий,26600,0.929085,0.0154319,0.0163384
узкий,26600,0.783985,0.160532,0.169962
широкий,27100,0.96181,0.0172926,0.0183085
узкий,27100,0.785941,0.158576,0.167891
широкий,27600,0.962703,0.0181856,0.0192539
узкий,27600,0.787717,0.1568,0.166011
широкий,28100,0.942459,0.00205817,0.00217907
узкий,28100,0.788256,0.156261,0.16544
широкий,28600,0.931081,0.0134357,0.0142249
узкий,28600,0.78042,0.164098,0.173737
широкий,29100,0.949829,0.00531211,0.00562415
узкий,29100,0.78945,0.155067,0.164176
широкий,29600,0.931157,0.0133599,0.0141447
узкий,29600,0.787297,0.15722,0.166455
широкий,30100,0.973183,0.0286654,0.0303493
узкий,30100,0.784751,0.159766,0.169151
широкий,30600,0.969672,0.0251547,0.0266323
узкий,30600,0.785915,0.158602,0.167919
широкий,31100,0.941891,0.00262665,0.00278095
узкий,31100,0.784695,0.159823,0.169211
широкий,31600,0.932833,0.0116844,0.0123708
узкий,31600,0.786741,0.157777,0.167045
широкий,32100,0.95495,0.0104328,0.0110456
узкий,32100,0.786916,0.157601,0.166859
широкий,32600,0.915551,0.0289663,0.0306679
узкий,32600,0.784264,0.160253,0.169667
широкий,33100,0.942842,0.0016756,0.00177403
узкий,33100,0.78136,0.163158,0.172742
широкий,33600,0.953985,0.0094674,0.0100235
узкий,33600,0.780804,0.163714,0.17333
широкий,34100,0.937145,0.00737171,0.00780473
узкий,34100,0.787038,0.157479,0.16673
широкий,34600,0.936247,0.00826987,0.00875566
узкий,34600,0.785405,0.159113,0.168459
широкий,35100,0.960857,0.0163401,0.0172999
узкий,35100,0.784302,0.160215,0.169627
широкий,35600,0.969483,0.0249655,0.026432
узкий,35600,0.783455,0.161062,0.170523
широкий,36100,0.928316,0.0162013,0.017153
узкий,36100,0.784183,0.160334,0.169753
широкий,36600,0.929712,0.0148047,0.0156744
узкий,36600,0.783989,0.160528,0.169958
широкий,37100,0.946008,0.00149119,0.00157879
узкий,37100,0.784798,0.159719,0.169102
широкий,37600,0.955924,0.0114067,0.0120767
узкий,37600,0.783989,0.160528,0.169958
широкий,38100,0.956903,0.012386,0.0131135
узкий,38100,0.787953,0.156564,0.165761
широкий,38600,0.95282,0.00830251,0.00879022
узкий,38600,0.780855,0.163662,0.173276
широкий,39100,0.951824,0.00730728,0.00773652
узкий,39100,0.783657,0.16086,0.170309
широкий,39600,0.92704,0.0174772,0.0185038
узкий,39600,0.788106,0.156411,0.165599
широкий,40100,0.937059,0.00745845,0.00789657
узкий,40100,0.784489,0.160028,0.169429
широкий,40600,0.965509,0.0209915,0.0222246
узкий,40600,0.779975,0.164542,0.174207
широкий,41100,0.931764,0.0127534,0.0135025
узкий,41100,0.786715,0.157802,0.167071
широкий,41600,0.950012,0.00549442,0.00581717
узкий,41600,0.786659,0.157859,0.167131
широкий,42100,0.942655,0.00186258,0.00197199
узкий,42100,0.785463,0.159054,0.168397
широкий,42600,0.938665,0.00585181,0.00619555
узкий,42600,0.787371,0.157146,0.166377
широкий,43100,0.927099,0.0174179,0.0184411
узкий,43100,0.787123,0.157394,0.16664
широкий,43600,0.94055,0.00396743,0.00420048
узкий,43600,0.785344,0.159173,0.168523
широкий,44100,0.928784,0.0157335,0.0166578
узкий,44100,0.782517,0.162,0.171516
широкий,44600,0.946055,0.0015382,0.00162855
узкий,44600,0.788072,0.156445,0.165635
широкий,45100,0.941603,0.00291431,0.0030855
узкий,45100,0.78714,0.157377,0.166622
широкий,45600,0.935756,0.0087616,0.00927627
узкий,45600,0.786382,0.158136,0.167425
широкий,46100,0.925185,0.0193326,0.0204682
